iter	Passed	Remaining
0	1	114
1	1	95
2	2	88
3	3	82
4	4	81
5	5	82
6	6	84
7	7	81
8	7	79
9	8	78
10	9	77
11	10	76
12	11	74
13	11	73
14	12	72
15	13	71
16	14	69
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	59
28	23	58
29	24	57
30	25	56
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
